nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1,-3.325332422E-03, 3.261021152E-02, 1.305615180E-03,-7.238051330E-05, 5.173578113E-02,-4.090785224E-04
         2,-3.096084576E-03, 3.144115582E-02, 1.767091104E-03,-1.190291878E-04, 5.107651278E-02,-9.762728587E-05
         3,-3.513075644E-03, 3.153482080E-02, 6.111129187E-04, 1.321382151E-04, 5.062232912E-02,-1.029572595E-04
         4, 2.674925840E-03, 4.092731047E-03, 2.313921694E-03,-2.491616178E-04, 5.190944672E-02,-5.879009259E-04
         5, 1.847356558E-03, 4.099606071E-03, 3.012239700E-03,-5.426261487E-05, 5.186254904E-02,-5.214670673E-04
         6, 2.308606170E-03, 5.684046075E-03, 2.684676554E-03, 2.471953630E-04, 5.138199404E-02,-2.401618549E-04
         7, 4.188202787E-03, 4.888379946E-02,-2.351151314E-03, 2.483782126E-03, 1.765312068E-02,-1.238776604E-03
         8, 4.596949555E-03, 5.002000183E-02,-1.433682279E-03, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00
         9, 3.915023059E-03, 5.002000183E-02,-2.782382071E-03, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00
        10, 5.260713515E-04, 1.337045105E-03,-4.523352720E-03,-5.745430826E-04, 3.672756255E-02, 4.627323709E-03
        11, 4.926921683E-04, 1.337164664E-03,-4.243423697E-03,-8.300291956E-04, 4.709007218E-02, 6.817479152E-03
        12, 1.244881190E-03, 0.000000000E+00,-4.085744265E-03,-4.653917160E-03, 4.076959565E-02, 1.540342811E-02
        13, 1.327297417E-03, 0.000000000E+00,-4.355600569E-03,-4.515953362E-03, 3.424313292E-02, 1.488118339E-02
        14,-3.116265871E-03, 3.580663726E-02, 1.726112096E-03, 4.119627993E-04, 5.087614432E-02,-4.989912268E-04
        15,-2.397442702E-03, 3.622934222E-02, 2.637530677E-03,-2.391845337E-04, 5.099927261E-02,-2.398649376E-04
        16,-2.581542358E-03, 3.470217064E-02, 2.445062622E-03, 1.098904977E-04, 5.017802492E-02,-1.120247762E-04
        17,-3.449845593E-03, 1.869735494E-02, 1.018349431E-03, 1.751953823E-04, 5.124538019E-02, 4.744550679E-04
        18,-3.557222895E-03, 1.745251380E-02, 5.163307069E-04, 4.312963210E-05, 5.117921904E-02, 8.009639714E-05
        19,-3.590460401E-03, 1.876369677E-02,-1.200725383E-04,-7.434043800E-05, 5.084067583E-02, 1.726640185E-04
        20, 1.401556307E-03, 5.002000183E-02, 4.599033389E-03, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00
        21, 6.165841478E-04, 4.894083366E-02, 4.768176470E-03, 1.562815887E-04, 1.788809896E-02, 2.689907560E-03
        22,-9.409499035E-05, 5.002000183E-02, 4.805996548E-03, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00
        23, 5.215071142E-04, 3.457235172E-02, 3.537255339E-03,-3.004962928E-04, 5.097441748E-02, 6.548225792E-05
        24,-5.828913418E-04, 3.440769017E-02, 3.524826607E-03,-1.236169337E-04, 5.090358108E-02, 6.913869584E-05
        25,-3.128042954E-05, 3.583377600E-02, 3.573507303E-03,-2.771886648E-04, 5.082314461E-02,-1.521368395E-04
        26, 4.146214633E-04, 3.722718358E-02, 3.550799331E-03,-4.827435478E-04, 5.041325837E-02, 5.347501137E-04
        27, 1.046922058E-03, 3.595386446E-02, 3.420297289E-03,-5.554201780E-04, 5.059823394E-02,-7.396279398E-05
