nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1,-3.325332422E-03, 3.261021152E-02, 1.305615180E-03, 3.412013466E-04, 6.964061856E-01, 3.049610859E-05
         2,-3.096084576E-03, 3.144115582E-02, 1.767091104E-03, 9.164315416E-04, 6.908764839E-01,-2.093575749E-04
         3,-3.513075644E-03, 3.153482080E-02, 6.111129187E-04, 2.329130191E-03, 6.910167933E-01,-2.407404972E-04
         4, 2.674925840E-03, 4.092731047E-03, 2.313921694E-03,-2.107828110E-02, 7.646849751E-01,-1.833517663E-02
         5, 1.847356558E-03, 4.099606071E-03, 3.012239700E-03,-1.500837877E-02, 7.628367543E-01,-2.407810092E-02
         6, 2.308606170E-03, 5.684046075E-03, 2.684676554E-03,-1.199606527E-02, 7.625623941E-01,-1.507665776E-02
         7, 4.188202787E-03, 4.888379946E-02,-2.351151314E-03, 3.125340119E-02, 1.831393093E-01,-1.718951389E-02
         8, 4.596949555E-03, 5.002000183E-02,-1.433682279E-03, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00
         9, 3.915023059E-03, 5.002000183E-02,-2.782382071E-03, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00
        10, 5.260713515E-04, 1.337045105E-03,-4.523352720E-03,-1.173549332E-02, 5.242984295E-01, 8.392867446E-02
        11, 4.926921683E-04, 1.337164664E-03,-4.243423697E-03,-1.396059990E-02, 6.994819045E-01, 9.500605613E-02
        12, 1.244881190E-03, 0.000000000E+00,-4.085744265E-03,-4.677069932E-02, 6.860561371E-01, 1.525356174E-01
        13, 1.327297417E-03, 0.000000000E+00,-4.355600569E-03,-6.086207926E-02, 5.916500688E-01, 1.954043359E-01
        14,-3.116265871E-03, 3.580663726E-02, 1.726112096E-03, 4.326716007E-04, 6.905356646E-01,-2.155818656E-04
        15,-2.397442702E-03, 3.622934222E-02, 2.637530677E-03, 5.235017161E-04, 6.905962229E-01,-1.395770669E-04
        16,-2.581542358E-03, 3.470217064E-02, 2.445062622E-03, 2.544523159E-04, 6.958004236E-01,-2.070544288E-04
        17,-3.449845593E-03, 1.869735494E-02, 1.018349431E-03, 4.920799285E-03, 7.033997178E-01,-1.050914288E-03
        18,-3.557222895E-03, 1.745251380E-02, 5.163307069E-04, 5.446569528E-03, 7.084677219E-01,-5.339575582E-04
        19,-3.590460401E-03, 1.876369677E-02,-1.200725383E-04, 4.835168365E-03, 7.032029629E-01, 3.715863859E-04
        20, 1.401556307E-03, 5.002000183E-02, 4.599033389E-03, 0.000000000E+00,-1.000000000E+00, 0.000000000E+00
