nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03, 1.172201335E-02, 1.535842428E-03, 2.566510579E-03
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03, 1.634793170E-02, 3.326907055E-03, 2.832920058E-03
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03, 8.426607586E-03,-2.192463144E-04, 1.780859428E-03
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03, 6.561534479E-03,-1.490328461E-03, 2.327118418E-04
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03, 1.958866045E-02, 3.987007309E-03, 2.035249723E-03
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04, 5.300051533E-03,-2.145817736E-03,-2.134571783E-03
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03, 7.729659323E-03,-1.521913684E-03,-5.519962870E-04
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04, 6.058367901E-03,-7.609467139E-04,-2.511366503E-03
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03, 7.575700060E-03,-1.487118425E-03,-4.906867398E-04
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03,-6.349930167E-02,-1.171171665E-02,-1.638409123E-02
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03,-3.992639109E-02,-1.081948075E-02,-1.382171642E-02
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03,-1.075018663E-02,-1.073777676E-02,-9.450900368E-03
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04, 1.938839070E-02, 2.700078767E-03, 3.190951422E-03
        24, 1.398305967E-02,-2.358136233E-03, 4.914124729E-04, 1.658326201E-02, 3.146321513E-03, 1.904525794E-03
        25, 1.400000043E-02,-2.447038656E-03, 5.118613481E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 1.398318540E-02, 2.402258804E-03,-1.678261469E-04, 4.570208490E-03,-1.449658768E-03,-4.562846851E-03
        27, 1.400000043E-02, 2.494075103E-03,-1.720156433E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        28, 1.400000043E-02,-2.311483491E-03,-9.523888002E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        29, 1.398293488E-02,-2.227332676E-03,-9.183131624E-04, 2.044968680E-02, 2.162258606E-03, 2.790696919E-03
        30, 1.398281474E-02,-1.306894119E-03,-2.023533452E-03, 2.123578265E-02, 3.062750446E-03, 1.529588364E-03
        31, 1.400000043E-02,-1.358364127E-03,-2.098772675E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        32, 1.400000043E-02, 3.427380871E-04, 2.476394642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        33, 1.398341637E-02, 3.290418535E-04, 2.384691499E-03, 4.915265366E-03,-1.836422598E-05,-8.834681939E-04
        34, 1.398332417E-02, 1.017047442E-03, 2.182322787E-03, 7.070417516E-03,-1.171746408E-03,-8.802019292E-04
        35, 1.400000043E-02, 1.056146692E-03, 2.265955554E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        36, 1.398322452E-02,-2.106976230E-03, 1.167016220E-03, 1.227511931E-02, 1.928491169E-03,-9.306194261E-04
        37, 1.400000043E-02,-2.187099541E-03, 1.211030642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        38, 1.400000043E-02,-4.001843045E-04, 2.467762679E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        39, 1.398331486E-02,-3.857181582E-04, 2.376322635E-03, 9.317884687E-04,-1.477381680E-03,-4.826221848E-04
        40, 1.400000043E-02,-1.924469252E-03,-1.595750102E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
