nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03,-2.335750731E-03, 1.146122580E-03,-2.907801172E-05
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03,-1.703898306E-03, 7.154454361E-04,-3.157706524E-04
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03,-2.874433761E-03, 1.199947088E-03, 3.395383537E-04
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03,-3.431333229E-03, 1.123860828E-03, 5.051281187E-04
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03,-1.843845705E-03, 3.483980836E-04,-5.945634330E-04
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04,-3.837569151E-03, 9.819952538E-04, 7.586196298E-04
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03,-5.241467152E-03, 4.753047542E-04, 8.257041336E-04
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04,-4.946077242E-03, 5.982898874E-04, 7.703292649E-04
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03,-5.106126890E-03, 2.286695817E-04, 8.037761436E-04
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03, 1.717704535E-02,-2.250411548E-03,-9.750054451E-04
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03, 1.734739915E-02,-3.609133186E-03,-1.288189203E-03
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03, 1.787733659E-02,-3.054395551E-03,-3.123259812E-04
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04,-1.620061113E-03,-4.079774371E-04, 6.711992901E-04
        24, 1.398305967E-02,-2.358136233E-03, 4.914124729E-04,-1.903622993E-03,-1.587547740E-04, 9.294838528E-04
        25, 1.400000043E-02,-2.447038656E-03, 5.118613481E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 1.398318540E-02, 2.402258804E-03,-1.678261469E-04,-4.588200245E-03, 7.701147115E-04, 9.427916375E-04
        27, 1.400000043E-02, 2.494075103E-03,-1.720156433E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        28, 1.400000043E-02,-2.311483491E-03,-9.523888002E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        29, 1.398293488E-02,-2.227332676E-03,-9.183131624E-04,-1.817473443E-03,-5.756547325E-04, 2.138252021E-04
        30, 1.398281474E-02,-1.306894119E-03,-2.023533452E-03,-1.704119844E-03,-6.855279935E-05,-4.042183573E-04
        31, 1.400000043E-02,-1.358364127E-03,-2.098772675E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        32, 1.400000043E-02, 3.427380871E-04, 2.476394642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        33, 1.398341637E-02, 3.290418535E-04, 2.384691499E-03,-4.784175195E-03,-1.683947630E-04, 7.866685628E-04
        34, 1.398332417E-02, 1.017047442E-03, 2.182322787E-03,-4.915395286E-03, 6.733782357E-05, 8.083959692E-04
        35, 1.400000043E-02, 1.056146692E-03, 2.265955554E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        36, 1.398322452E-02,-2.106976230E-03, 1.167016220E-03,-2.746803220E-03, 1.133332844E-04, 1.069241320E-03
        37, 1.400000043E-02,-2.187099541E-03, 1.211030642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        38, 1.400000043E-02,-4.001843045E-04, 2.467762679E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        39, 1.398331486E-02,-3.857181582E-04, 2.376322635E-03,-4.718569107E-03,-6.059107545E-05, 7.120838854E-04
        40, 1.400000043E-02,-1.924469252E-03,-1.595750102E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        41, 1.398277469E-02,-1.852945192E-03,-1.539510675E-03,-1.532103750E-03,-2.619373263E-04,-2.525329473E-04
        42, 1.400000043E-02,-1.108833239E-03, 2.240644768E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        43, 1.398314349E-02,-1.069005462E-03, 2.157340292E-03,-4.275690764E-03,-3.348666723E-06, 7.223295397E-04
        44, 1.398321614E-02,-1.661822200E-03, 1.742948545E-03,-3.425704315E-03, 2.412577742E-04, 8.616948035E-04
        45, 1.400000043E-02,-1.725539099E-03, 1.809009351E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        46, 1.746734791E-02,-7.603689446E-04,-1.851229608E-04, 4.726700857E-02, 8.763371967E-03, 2.637896454E-03
        47, 1.716829464E-02,-6.632192526E-04, 3.746939765E-04, 3.747166321E-02, 6.857204717E-03, 3.303444828E-04
        48, 1.780942455E-02,-6.724213599E-04, 1.076592162E-04, 4.731677845E-02, 7.521611638E-03, 2.804200340E-04
        49, 1.727107726E-02,-3.418206761E-04,-6.842506700E-04, 4.831779748E-02, 8.101088926E-03, 6.351973396E-03
        50, 1.790871657E-02,-4.709086206E-04,-5.652943510E-04, 5.388031527E-02, 8.258596994E-03, 5.050784443E-03
        51, 2.050006576E-02, 4.918958293E-04,-1.133852711E-04, 8.825157583E-02,-1.543973223E-03, 6.347844843E-03
        52, 2.012914792E-02, 3.266147396E-04,-3.738900705E-04, 8.365917206E-02, 1.534796203E-03, 6.854474545E-03
        53, 2.049989253E-02, 3.693889885E-04,-3.310905304E-04, 8.970022947E-02, 1.061702729E-03, 6.565434858E-03
        54, 1.543288026E-02,-2.647493966E-04,-1.041497802E-03, 3.851503879E-02, 7.486589719E-03, 5.547071807E-03
        55, 1.536564715E-02,-7.366663194E-04,-7.609947352E-04, 3.949493542E-02, 7.676163223E-03, 3.936211113E-03
        56, 1.622909866E-02,-4.801692558E-04,-7.948805578E-04, 4.311290756E-02, 8.633730933E-03, 5.983149633E-03
        57,-1.080952468E-03, 6.984460051E-04,-1.083099633E-03, 1.887755841E-02,-3.408241901E-05, 5.288595567E-04
        58,-1.917731715E-03, 1.032761298E-03,-5.734469742E-04, 1.936374232E-02, 1.221309794E-04, 3.014433314E-04
        59,-1.984441187E-03, 4.646492598E-04,-1.145330607E-03, 1.854174584E-02, 1.636261441E-04, 3.998719330E-04
        60, 1.826509275E-02,-4.533903557E-04, 3.538004821E-04, 4.919529334E-02, 4.794412293E-03,-2.230404876E-03
        61, 1.831393503E-02,-6.136244629E-04,-1.931519364E-04, 5.578616634E-02, 8.052947000E-03, 1.504594577E-03
        62, 1.829822548E-02, 2.182906901E-04,-5.304648657E-04, 5.608183518E-02, 4.606509581E-03, 7.906190120E-03
        63, 1.845232025E-02,-2.374143660E-04,-5.558945704E-04, 5.994819105E-02, 7.128045894E-03, 5.651464220E-03
        64, 1.871347055E-02, 1.982203976E-04,-5.659294548E-04, 6.188620254E-02, 4.348249640E-03, 7.944721729E-03
        65, 1.639843173E-02, 6.576639134E-04, 6.232822197E-04, 1.662195660E-02,-2.154316317E-04, 5.973913707E-03
        66, 1.566291414E-02, 9.011016809E-04, 4.903750960E-04, 1.080990862E-02, 1.048864215E-03, 7.198926061E-03
        67, 1.618463360E-02, 9.071538807E-04, 5.677457466E-06, 2.103811502E-02, 2.236673608E-03, 8.967667818E-03
        68, 7.859568723E-05, 6.895280676E-04,-1.043993514E-03, 1.881253347E-02,-5.459919921E-04, 3.093078558E-04
        69,-7.051342982E-04, 1.982440881E-05,-1.203541644E-03, 1.857860200E-02, 4.875110608E-05, 4.162140613E-05
