nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03,-3.832762316E-02, 1.913463231E-03,-4.828848876E-03
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03,-3.655481711E-02,-1.287267311E-03,-4.996597301E-03
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03,-3.833003342E-02, 2.864384325E-03,-3.795888973E-03
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03,-3.804179281E-02, 4.037695937E-03,-3.429419128E-03
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03,-3.765811026E-02,-2.868707292E-03,-4.900061991E-03
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04,-3.650008887E-02, 4.982334562E-03,-1.522402745E-03
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03,-3.851413354E-02, 4.979398567E-03, 2.289017662E-03
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04,-3.759171069E-02, 4.896829836E-03, 1.171503449E-03
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03,-3.701370955E-02, 3.776947269E-03, 2.855435945E-03
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03, 9.148676693E-02,-7.484009839E-04, 9.946724167E-04
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03, 9.439437836E-02,-8.198586875E-04, 9.235536563E-04
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03, 9.236204624E-02,-1.484916720E-04, 1.177196973E-03
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04,-3.721775860E-02,-4.732608795E-03,-4.087219713E-04
        24, 1.398305967E-02,-2.358136233E-03, 4.914124729E-04,-3.763145208E-02,-4.784975201E-03, 1.072260202E-03
        25, 1.400000043E-02,-2.447038656E-03, 5.118613481E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 1.398318540E-02, 2.402258804E-03,-1.678261469E-04,-3.745308891E-02, 5.062024109E-03, 8.054608479E-04
        27, 1.400000043E-02, 2.494075103E-03,-1.720156433E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        28, 1.400000043E-02,-2.311483491E-03,-9.523888002E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        29, 1.398293488E-02,-2.227332676E-03,-9.183131624E-04,-3.836192936E-02,-4.887979478E-03,-2.654007636E-03
        30, 1.398281474E-02,-1.306894119E-03,-2.023533452E-03,-3.781838715E-02,-3.066114848E-03,-4.317553248E-03
        31, 1.400000043E-02,-1.358364127E-03,-2.098772675E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        32, 1.400000043E-02, 3.427380871E-04, 2.476394642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        33, 1.398341637E-02, 3.290418535E-04, 2.384691499E-03,-3.767054901E-02, 3.779868712E-05, 5.055563524E-03
        34, 1.398332417E-02, 1.017047442E-03, 2.182322787E-03,-3.767733276E-02, 2.501529874E-03, 4.417028278E-03
        35, 1.400000043E-02, 1.056146692E-03, 2.265955554E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        36, 1.398322452E-02,-2.106976230E-03, 1.167016220E-03,-3.906173632E-02,-4.839443602E-03, 2.467725892E-03
        37, 1.400000043E-02,-2.187099541E-03, 1.211030642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        38, 1.400000043E-02,-4.001843045E-04, 2.467762679E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        39, 1.398331486E-02,-3.857181582E-04, 2.376322635E-03,-3.822305426E-02,-1.065165736E-03, 5.008541979E-03
        40, 1.400000043E-02,-1.924469252E-03,-1.595750102E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        41, 1.398277469E-02,-1.852945192E-03,-1.539510675E-03,-3.725002706E-02,-3.637293354E-03,-3.539487720E-03
        42, 1.400000043E-02,-1.108833239E-03, 2.240644768E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        43, 1.398314349E-02,-1.069005462E-03, 2.157340292E-03,-3.804060817E-02,-2.945352346E-03, 4.413038958E-03
        44, 1.398321614E-02,-1.661822200E-03, 1.742948545E-03,-3.755539283E-02,-3.400314599E-03, 3.268141299E-03
        45, 1.400000043E-02,-1.725539099E-03, 1.809009351E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        46, 1.746734791E-02,-7.603689446E-04,-1.851229608E-04, 1.244537905E-01, 1.324379072E-02, 2.585290931E-03
        47, 1.716829464E-02,-6.632192526E-04, 3.746939765E-04, 1.200830191E-01, 8.997824974E-03,-5.335353315E-03
        48, 1.780942455E-02,-6.724213599E-04, 1.076592162E-04, 1.393479407E-01, 1.267979946E-02,-2.305054804E-03
        49, 1.727107726E-02,-3.418206761E-04,-6.842506700E-04, 1.209142655E-01, 5.129485391E-03, 8.886947297E-03
        50, 1.790871657E-02,-4.709086206E-04,-5.652943510E-04, 1.419637203E-01, 9.113667533E-03, 1.019305736E-02
