nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03, 1.023326721E-02, 3.117931541E-03, 2.642055973E-03
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03, 1.271476503E-02, 3.634489840E-03, 1.919136266E-03
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03, 7.885205559E-03, 1.655265456E-03, 2.663283376E-03
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03, 5.701057147E-03, 1.051226500E-04, 1.715648104E-03
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03, 1.349066943E-02, 2.944266191E-03, 9.654368623E-04
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04, 3.375041066E-03,-8.442883845E-04,-2.856201609E-04
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03, 1.590767410E-03,-8.879098459E-04, 8.554687374E-04
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04, 1.042634831E-04, 3.801392450E-05,-2.245287469E-04
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03, 3.090075217E-03,-1.366730547E-03, 5.436154897E-04
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03, 2.389456145E-02,-7.623017766E-03,-7.988726720E-03
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03, 3.611170128E-02,-6.290823221E-03,-6.311637815E-03
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03, 4.744068161E-02,-6.945088040E-03,-3.151090816E-03
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04, 1.251443848E-02, 1.439916436E-03, 3.557812888E-03
        24, 1.398305967E-02,-2.358136233E-03, 4.914124729E-04, 1.071862504E-02, 2.423408441E-03, 2.926006913E-03
        25, 1.400000043E-02,-2.447038656E-03, 5.118613481E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 1.398318540E-02, 2.402258804E-03,-1.678261469E-04, 8.071605698E-04,-3.627668193E-04,-1.750369091E-03
        27, 1.400000043E-02, 2.494075103E-03,-1.720156433E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        28, 1.400000043E-02,-2.311483491E-03,-9.523888002E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        29, 1.398293488E-02,-2.227332676E-03,-9.183131624E-04, 1.338012144E-02, 7.893934380E-04, 2.908131341E-03
        30, 1.398281474E-02,-1.306894119E-03,-2.023533452E-03, 1.392768789E-02, 1.655756379E-03, 8.408731665E-04
        31, 1.400000043E-02,-1.358364127E-03,-2.098772675E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        32, 1.400000043E-02, 3.427380871E-04, 2.476394642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        33, 1.398341637E-02, 3.290418535E-04, 2.384691499E-03, 2.434703987E-03,-1.453820150E-03,-2.521197312E-04
        34, 1.398332417E-02, 1.017047442E-03, 2.182322787E-03, 3.674013540E-03,-1.341564348E-03,-9.819175466E-05
        35, 1.400000043E-02, 1.056146692E-03, 2.265955554E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        36, 1.398322452E-02,-2.106976230E-03, 1.167016220E-03, 7.893446833E-03, 1.985428156E-03, 7.064655074E-04
        37, 1.400000043E-02,-2.187099541E-03, 1.211030642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        38, 1.400000043E-02,-4.001843045E-04, 2.467762679E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        39, 1.398331486E-02,-3.857181582E-04, 2.376322635E-03, 9.452582453E-04,-2.616039012E-03,-6.941912579E-04
        40, 1.400000043E-02,-1.924469252E-03,-1.595750102E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        41, 1.398277469E-02,-1.852945192E-03,-1.539510675E-03, 1.412089542E-02, 8.296644664E-04, 1.747450558E-03
        42, 1.400000043E-02,-1.108833239E-03, 2.240644768E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        43, 1.398314349E-02,-1.069005462E-03, 2.157340292E-03, 1.489713555E-03,-2.681119135E-03,-1.755241654E-03
        44, 1.398321614E-02,-1.661822200E-03, 1.742948545E-03, 4.586223979E-03,-3.534670395E-04,-1.512726420E-03
        45, 1.400000043E-02,-1.725539099E-03, 1.809009351E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        46, 1.746734791E-02,-7.603689446E-04,-1.851229608E-04, 1.356664747E-01, 2.406645194E-02, 1.807121001E-02
        47, 1.716829464E-02,-6.632192526E-04, 3.746939765E-04, 1.004680693E-01, 2.041507699E-02, 1.404188201E-02
        48, 1.780942455E-02,-6.724213599E-04, 1.076592162E-04, 1.307947338E-01, 2.003699355E-02, 1.278527454E-02
        49, 1.727107726E-02,-3.418206761E-04,-6.842506700E-04, 1.365374625E-01, 2.082970738E-02, 2.644039318E-02
        50, 1.790871657E-02,-4.709086206E-04,-5.652943510E-04, 1.523233950E-01, 2.019032463E-02, 2.177966014E-02
        51, 2.050006576E-02, 4.918958293E-04,-1.133852711E-04, 2.115406245E-01,-2.792180050E-03, 8.742199279E-03
        52, 2.012914792E-02, 3.266147396E-04,-3.738900705E-04, 2.072197646E-01, 3.098555841E-03, 1.144902036E-02
        53, 2.049989253E-02, 3.693889885E-04,-3.310905304E-04, 2.182304859E-01, 2.278593136E-03, 1.007080637E-02
        54, 1.543288026E-02,-2.647493966E-04,-1.041497802E-03, 1.117513999E-01, 2.062870562E-02, 2.971156500E-02
        55, 1.536564715E-02,-7.366663194E-04,-7.609947352E-04, 1.150332168E-01, 2.517809533E-02, 2.527914941E-02
        56, 1.622909866E-02,-4.801692558E-04,-7.948805578E-04, 1.244424954E-01, 2.431289665E-02, 2.942476794E-02
        57,-1.080952468E-03, 6.984460051E-04,-1.083099633E-03, 2.567749843E-02,-6.214336026E-03,-3.231111215E-03
        58,-1.917731715E-03, 1.032761298E-03,-5.734469742E-04, 2.620191500E-02,-4.321883433E-03,-1.444285386E-03
        59,-1.984441187E-03, 4.646492598E-04,-1.145330607E-03, 2.775516734E-02,-4.567098804E-03,-1.532133901E-03
        60, 1.826509275E-02,-4.533903557E-04, 3.538004821E-04, 1.269468665E-01, 1.307746582E-02, 6.306573749E-03
        61, 1.831393503E-02,-6.136244629E-04,-1.931519364E-04, 1.556815803E-01, 1.980628632E-02, 1.366590150E-02
        62, 1.829822548E-02, 2.182906901E-04,-5.304648657E-04, 1.452598274E-01, 1.034780219E-02, 1.835342497E-02
        63, 1.845232025E-02,-2.374143660E-04,-5.558945704E-04, 1.630286723E-01, 1.525855903E-02, 1.894460060E-02
