nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03, 1.014117338E-02, 2.504398348E-03, 2.113412833E-03
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03, 1.124302577E-02, 2.527853474E-03, 1.558966236E-03
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03, 9.427115321E-03, 1.942174044E-03, 2.719014417E-03
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03, 7.985981181E-03, 1.014981885E-03, 2.789012389E-03
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03, 1.079894137E-02, 1.895708148E-03, 7.389207021E-04
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04, 6.769540720E-03,-2.491822233E-04, 2.275115578E-03
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03, 4.572354257E-03,-9.782499401E-04, 3.069558297E-04
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04, 4.530459177E-03,-8.397527272E-04, 6.786591839E-04
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03, 5.502565298E-03,-1.024982776E-03,-1.044936071E-04
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03, 6.322254241E-02,-6.081562489E-03,-3.736676183E-03
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03, 6.667891890E-02,-6.859345827E-03,-3.428469412E-03
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03, 7.130808383E-02,-6.481435150E-03,-1.197363017E-03
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04, 1.051123720E-02, 1.027736347E-03, 2.248548903E-03
        24, 1.398305967E-02,-2.358136233E-03, 4.914124729E-04, 1.008919161E-02, 1.951896469E-03, 2.494776156E-03
        25, 1.400000043E-02,-2.447038656E-03, 5.118613481E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 1.398318540E-02, 2.402258804E-03,-1.678261469E-04, 5.375487264E-03,-6.761949626E-04, 1.303909929E-03
        27, 1.400000043E-02, 2.494075103E-03,-1.720156433E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        28, 1.400000043E-02,-2.311483491E-03,-9.523888002E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        29, 1.398293488E-02,-2.227332676E-03,-9.183131624E-04, 1.052796561E-02, 6.241368828E-04, 1.585895312E-03
        30, 1.398281474E-02,-1.306894119E-03,-2.023533452E-03, 1.083230320E-02, 1.134330640E-03, 5.845241831E-04
        31, 1.400000043E-02,-1.358364127E-03,-2.098772675E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        32, 1.400000043E-02, 3.427380871E-04, 2.476394642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        33, 1.398341637E-02, 3.290418535E-04, 2.384691499E-03, 6.055996288E-03,-6.304472336E-04,-8.030977333E-04
        34, 1.398332417E-02, 1.017047442E-03, 2.182322787E-03, 6.140542682E-03,-9.322456899E-04,-5.566083128E-04
        35, 1.400000043E-02, 1.056146692E-03, 2.265955554E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        36, 1.398322452E-02,-2.106976230E-03, 1.167016220E-03, 8.721105754E-03, 2.280700020E-03, 1.684755785E-03
        37, 1.400000043E-02,-2.187099541E-03, 1.211030642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        38, 1.400000043E-02,-4.001843045E-04, 2.467762679E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        39, 1.398331486E-02,-3.857181582E-04, 2.376322635E-03, 5.568205845E-03,-1.897385519E-04,-8.475913201E-04
        40, 1.400000043E-02,-1.924469252E-03,-1.595750102E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        41, 1.398277469E-02,-1.852945192E-03,-1.539510675E-03, 1.103743166E-02, 7.215949590E-04, 9.659192874E-04
        42, 1.400000043E-02,-1.108833239E-03, 2.240644768E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        43, 1.398314349E-02,-1.069005462E-03, 2.157340292E-03, 6.003723480E-03, 8.606807096E-04,-5.613127723E-04
