nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03, 1.369770523E-02, 2.976801479E-03, 2.985613886E-03
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03, 1.521089580E-02, 3.144134767E-03, 2.190139377E-03
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03, 1.248586364E-02, 1.999396598E-03, 3.526825923E-03
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03, 1.061299350E-02, 5.800818326E-04, 3.249583999E-03
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03, 1.487747859E-02, 2.450396772E-03, 1.198582700E-03
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04, 8.844898082E-03,-8.386371774E-04, 2.031269483E-03
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03, 6.463010330E-03,-1.348418300E-03, 1.681513822E-04
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04, 6.013800390E-03,-1.026691752E-03, 3.211056464E-04
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03, 7.692664396E-03,-1.493099495E-03,-2.087674948E-04
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03, 5.863475427E-02,-7.336670533E-03,-5.488066934E-03
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03, 6.544984132E-02,-7.060272153E-03,-4.488757346E-03
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03, 7.249861956E-02,-7.148779929E-03,-1.791006769E-03
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04, 1.441104710E-02, 1.545645297E-03, 2.908244962E-03
