nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03,-1.788279391E-03, 3.458335996E-04,-1.718653948E-04
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03,-1.564561273E-03, 1.757359132E-04,-2.358736238E-04
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03,-2.037052764E-03, 4.216842935E-04,-7.679138798E-05
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03,-2.260675188E-03, 4.490957072E-04, 1.710669858E-05
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03,-1.452906756E-03, 3.910202213E-05,-2.471622138E-04
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04,-2.527803183E-03, 4.890715936E-04, 1.239816193E-04
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03,-2.992393216E-03, 2.684467763E-04, 4.215563240E-04
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04,-2.858024556E-03, 3.690053127E-04, 3.273841576E-04
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03,-3.130498109E-03, 1.178052044E-04, 5.251564435E-04
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03,-7.389428560E-03,-1.603820710E-03,-7.870472618E-04
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03,-6.681504194E-03,-2.420062665E-03,-8.238640148E-04
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03,-6.179679185E-03,-2.074848395E-03,-1.106592390E-04
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04,-1.348052872E-03,-1.889890409E-04, 1.387064840E-04
        24, 1.398305967E-02,-2.358136233E-03, 4.914124729E-04,-1.531554968E-03,-1.673968945E-04, 2.393417381E-04
        25, 1.400000043E-02,-2.447038656E-03, 5.118613481E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 1.398318540E-02, 2.402258804E-03,-1.678261469E-04,-2.728165593E-03, 4.161502293E-04, 2.411134192E-04
        27, 1.400000043E-02, 2.494075103E-03,-1.720156433E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        28, 1.400000043E-02,-2.311483491E-03,-9.523888002E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        29, 1.398293488E-02,-2.227332676E-03,-9.183131624E-04,-1.313022687E-03,-1.967710559E-04,-6.628794836E-06
        30, 1.398281474E-02,-1.306894119E-03,-2.023533452E-03,-1.341773430E-03,-5.666759898E-05,-1.935564505E-04
        31, 1.400000043E-02,-1.358364127E-03,-2.098772675E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        32, 1.400000043E-02, 3.427380871E-04, 2.476394642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        33, 1.398341637E-02, 3.290418535E-04, 2.384691499E-03,-3.072319552E-03,-1.589402673E-04, 4.993742332E-04
        34, 1.398332417E-02, 1.017047442E-03, 2.182322787E-03,-3.139556153E-03,-3.445065522E-05, 5.485203583E-04
        35, 1.400000043E-02, 1.056146692E-03, 2.265955554E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        36, 1.398322452E-02,-2.106976230E-03, 1.167016220E-03,-1.894595101E-03,-1.466303656E-04, 2.729253902E-04
        37, 1.400000043E-02,-2.187099541E-03, 1.211030642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        38, 1.400000043E-02,-4.001843045E-04, 2.467762679E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        39, 1.398331486E-02,-3.857181582E-04, 2.376322635E-03,-2.939792816E-03,-2.210881794E-04, 4.057043989E-04
        40, 1.400000043E-02,-1.924469252E-03,-1.595750102E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        41, 1.398277469E-02,-1.852945192E-03,-1.539510675E-03,-1.262808684E-03,-1.369707315E-04,-1.157175066E-04
        42, 1.400000043E-02,-1.108833239E-03, 2.240644768E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
