nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03, 8.924706839E-03, 5.538825062E-04, 1.052189851E-03
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03, 1.106347423E-02, 1.056059846E-03, 1.257719705E-03
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03, 1.031783316E-02,-3.198903869E-04, 9.487110656E-04
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03, 9.279322810E-03,-5.934637738E-04, 2.170925727E-04
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03, 7.275042590E-03, 7.886555977E-05,-3.675759581E-05
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04, 1.144141518E-02,-1.182940090E-03, 7.212751079E-04
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03, 7.204674650E-03, 4.156559880E-04,-6.857133703E-04
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04, 8.238089271E-03, 3.997875319E-05,-8.816657937E-04
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03, 9.572607465E-03, 1.602799020E-04,-9.221184882E-04
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03, 3.888394535E-01,-9.658780764E-04, 1.594523666E-03
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03, 3.910378516E-01,-6.595403538E-04, 1.630535349E-03
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03, 3.902030289E-01, 2.690507099E-04, 1.616291003E-03
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04, 6.522856653E-03, 1.137012368E-04,-1.181912026E-03
        24, 1.398305967E-02,-2.358136233E-03, 4.914124729E-04, 7.288581226E-03,-1.573294721E-04,-6.380483683E-05
        25, 1.400000043E-02,-2.447038656E-03, 5.118613481E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 1.398318540E-02, 2.402258804E-03,-1.678261469E-04, 8.816334419E-03,-4.710288777E-04,-3.787465976E-04
        27, 1.400000043E-02, 2.494075103E-03,-1.720156433E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        28, 1.400000043E-02,-2.311483491E-03,-9.523888002E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        29, 1.398293488E-02,-2.227332676E-03,-9.183131624E-04, 4.502779804E-03,-4.909822019E-04,-1.001633354E-03
        30, 1.398281474E-02,-1.306894119E-03,-2.023533452E-03, 6.430246867E-03,-6.812195061E-04,-1.283307211E-04
        31, 1.400000043E-02,-1.358364127E-03,-2.098772675E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        32, 1.400000043E-02, 3.427380871E-04, 2.476394642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        33, 1.398341637E-02, 3.290418535E-04, 2.384691499E-03, 8.235013112E-03, 1.450836135E-04,-3.619853815E-04
        34, 1.398332417E-02, 1.017047442E-03, 2.182322787E-03, 8.793055080E-03, 4.553626932E-04,-7.829985116E-04
        35, 1.400000043E-02, 1.056146692E-03, 2.265955554E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        36, 1.398322452E-02,-2.106976230E-03, 1.167016220E-03, 4.652537871E-03,-3.035218106E-04, 5.976819084E-04
        37, 1.400000043E-02,-2.187099541E-03, 1.211030642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        38, 1.400000043E-02,-4.001843045E-04, 2.467762679E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        39, 1.398331486E-02,-3.857181582E-04, 2.376322635E-03, 7.114439271E-03,-2.868950251E-04,-7.148948498E-05
        40, 1.400000043E-02,-1.924469252E-03,-1.595750102E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        41, 1.398277469E-02,-1.852945192E-03,-1.539510675E-03, 6.974570453E-03,-6.584494258E-05,-2.818447829E-04
        42, 1.400000043E-02,-1.108833239E-03, 2.240644768E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        43, 1.398314349E-02,-1.069005462E-03, 2.157340292E-03, 7.776731160E-03, 1.190004114E-04,-2.188578947E-04
        44, 1.398321614E-02,-1.661822200E-03, 1.742948545E-03, 7.614570204E-03,-1.659525296E-04,-4.390977847E-04
        45, 1.400000043E-02,-1.725539099E-03, 1.809009351E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        46, 1.746734791E-02,-7.603689446E-04,-1.851229608E-04, 8.702732921E-01, 9.301371872E-02, 1.946112886E-02
        47, 1.716829464E-02,-6.632192526E-04, 3.746939765E-04, 8.012865782E-01, 7.401980460E-02,-4.155999795E-02
