nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03, 3.147245198E-02, 2.487964230E-04, 3.403093666E-03
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03, 3.563556820E-02, 1.687603653E-03, 4.996129777E-03
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03, 3.481212258E-02,-1.479307539E-03, 2.878336469E-03
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03, 3.166509792E-02,-2.518966328E-03, 1.694556442E-03
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03, 2.902483754E-02, 1.162173343E-03, 2.719476586E-03
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04, 3.615698963E-02,-4.943174776E-03, 2.138857031E-03
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03, 2.865200676E-02,-1.482336898E-03,-2.363653155E-03
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04, 3.107431903E-02,-2.785911318E-03,-1.502962550E-03
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03, 3.174372017E-02,-1.261996105E-03,-2.410170855E-03
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03, 5.135217309E-01,-9.970687097E-04, 1.637893380E-03
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03, 5.149601102E-01,-6.637021434E-04, 1.771736541E-03
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03, 5.148459077E-01, 2.516978711E-04, 1.775136101E-03
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04, 2.705924027E-02, 1.886880258E-03,-1.363861491E-03
        24, 1.398305967E-02,-2.358136233E-03, 4.914124729E-04, 2.913068980E-02, 2.541928086E-03,-6.609240081E-04
        25, 1.400000043E-02,-2.447038656E-03, 5.118613481E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 1.398318540E-02, 2.402258804E-03,-1.678261469E-04, 3.072929941E-02,-2.629365539E-03,-2.070993360E-04
        27, 1.400000043E-02, 2.494075103E-03,-1.720156433E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        28, 1.400000043E-02,-2.311483491E-03,-9.523888002E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        29, 1.398293488E-02,-2.227332676E-03,-9.183131624E-04, 2.567394823E-02, 1.874273294E-03, 5.156747648E-06
        30, 1.398281474E-02,-1.306894119E-03,-2.023533452E-03, 2.826146595E-02, 8.246237994E-04, 1.555220224E-03
        31, 1.400000043E-02,-1.358364127E-03,-2.098772675E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        32, 1.400000043E-02, 3.427380871E-04, 2.476394642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        33, 1.398341637E-02, 3.290418535E-04, 2.384691499E-03, 3.036472574E-02, 4.218179311E-05,-2.712025773E-03
        34, 1.398332417E-02, 1.017047442E-03, 2.182322787E-03, 3.126551583E-02,-9.983009659E-04,-2.713618800E-03
        35, 1.400000043E-02, 1.056146692E-03, 2.265955554E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        36, 1.398322452E-02,-2.106976230E-03, 1.167016220E-03, 2.608532086E-02, 1.637978945E-03,-9.765803115E-04
        37, 1.400000043E-02,-2.187099541E-03, 1.211030642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        38, 1.400000043E-02,-4.001843045E-04, 2.467762679E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        39, 1.398331486E-02,-3.857181582E-04, 2.376322635E-03, 2.917155996E-02,-8.519273251E-06,-2.414206974E-03
        40, 1.400000043E-02,-1.924469252E-03,-1.595750102E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        41, 1.398277469E-02,-1.852945192E-03,-1.539510675E-03, 2.896696329E-02, 1.572340261E-03, 1.700728899E-03
        42, 1.400000043E-02,-1.108833239E-03, 2.240644768E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        43, 1.398314349E-02,-1.069005462E-03, 2.157340292E-03, 3.030537814E-02, 1.920535578E-03,-2.468032530E-03
        44, 1.398321614E-02,-1.661822200E-03, 1.742948545E-03, 2.907407284E-02, 1.386289136E-03,-1.837028656E-03
        45, 1.400000043E-02,-1.725539099E-03, 1.809009351E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        46, 1.746734791E-02,-7.603689446E-04,-1.851229608E-04, 1.193081379E+00, 1.288927346E-01, 2.647938766E-02
        47, 1.716829464E-02,-6.632192526E-04, 3.746939765E-04, 1.096340656E+00, 1.021687016E-01,-5.747070163E-02
        48, 1.780942455E-02,-6.724213599E-04, 1.076592162E-04, 1.323317170E+00, 1.282358319E-01,-2.157190256E-02
        49, 1.727107726E-02,-3.418206761E-04,-6.842506700E-04, 1.127302647E+00, 5.706212670E-02, 1.109984145E-01
        50, 1.790871657E-02,-4.709086206E-04,-5.652943510E-04, 1.366731524E+00, 9.127073735E-02, 1.167777628E-01
