nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03, 1.330090780E-02, 1.396883512E-03, 2.835343825E-03
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03, 1.818433404E-02, 3.454034217E-03, 3.174654441E-03
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03, 9.975355119E-03,-5.306258681E-04, 1.921202755E-03
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03, 8.245554753E-03,-1.877733041E-03, 1.556500793E-04
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03, 2.188542672E-02, 4.496264271E-03, 2.326370450E-03
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04, 7.234224118E-03,-2.554614563E-03,-2.293096855E-03
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03, 1.133951265E-02,-1.963824267E-03,-1.161487307E-03
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04, 9.773953818E-03,-1.456671162E-03,-2.809427911E-03
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03, 1.075772103E-02,-1.677433262E-03,-1.066351426E-03
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03,-8.709004521E-02,-1.284881588E-02,-1.843487658E-02
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03,-6.277841330E-02,-1.219660789E-02,-1.569687389E-02
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03,-2.862719819E-02,-1.218724158E-02,-1.073369384E-02
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04, 2.215068229E-02, 3.139169887E-03, 2.991971560E-03
        24, 1.398305967E-02,-2.358136233E-03, 4.914124729E-04, 1.939553022E-02, 3.586435458E-03, 1.762825646E-03
        25, 1.400000043E-02,-2.447038656E-03, 5.118613481E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 1.398318540E-02, 2.402258804E-03,-1.678261469E-04, 7.484934293E-03,-1.946253586E-03,-4.736141767E-03
        27, 1.400000043E-02, 2.494075103E-03,-1.720156433E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        28, 1.400000043E-02,-2.311483491E-03,-9.523888002E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        29, 1.398293488E-02,-2.227332676E-03,-9.183131624E-04, 2.309438772E-02, 2.673717216E-03, 2.477205591E-03
        30, 1.398281474E-02,-1.306894119E-03,-2.023533452E-03, 2.376792766E-02, 3.759230021E-03, 1.607715385E-03
        31, 1.400000043E-02,-1.358364127E-03,-2.098772675E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        32, 1.400000043E-02, 3.427380871E-04, 2.476394642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        33, 1.398341637E-02, 3.290418535E-04, 2.384691499E-03, 7.442370057E-03, 6.698073412E-05,-1.307777129E-03
        34, 1.398332417E-02, 1.017047442E-03, 2.182322787E-03, 9.966475889E-03,-1.447102637E-03,-1.352501800E-03
        35, 1.400000043E-02, 1.056146692E-03, 2.265955554E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        36, 1.398322452E-02,-2.106976230E-03, 1.167016220E-03, 1.492033526E-02, 2.290312201E-03,-1.143358182E-03
        37, 1.400000043E-02,-2.187099541E-03, 1.211030642E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        38, 1.400000043E-02,-4.001843045E-04, 2.467762679E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        39, 1.398331486E-02,-3.857181582E-04, 2.376322635E-03, 3.108816920E-03,-1.171999029E-03,-7.734230603E-04
        40, 1.400000043E-02,-1.924469252E-03,-1.595750102E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        41, 1.398277469E-02,-1.852945192E-03,-1.539510675E-03, 2.418312989E-02, 2.807064448E-03, 1.636166475E-03
