nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
         1, 1.400000043E-02, 7.345299236E-04,-2.389658010E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2, 1.398273651E-02, 7.077569608E-04,-2.301370259E-03, 1.673532836E-02, 1.480283216E-03, 3.511946183E-03
         3, 1.398202684E-02, 1.877331556E-06,-2.408558037E-03, 2.203751169E-02, 4.339791369E-03, 3.902439494E-03
         4, 1.400000043E-02, 1.416384775E-18,-2.499999944E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.400000043E-02, 1.407652977E-03,-2.066038083E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 1.398305222E-02, 1.355856424E-03,-1.989339478E-03, 1.369744353E-02,-1.203359221E-03, 2.322628861E-03
         7, 1.400000043E-02, 1.961993054E-03,-1.549381646E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 1.398275048E-02, 1.890136627E-03,-1.491383766E-03, 1.252670772E-02,-2.728479216E-03, 1.327350183E-04
         9, 1.398264989E-02,-6.489096559E-04,-2.319353167E-03, 2.739413828E-02, 6.571476348E-03, 2.877728315E-03
        10, 1.400000043E-02,-6.784535944E-04,-2.406179672E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.400000043E-02, 2.333075739E-03,-8.981970605E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.398232672E-02, 2.247705590E-03,-8.652525721E-04, 1.337212883E-02,-3.404577961E-03,-1.578588039E-03
        13, 1.400000043E-02, 2.158232499E-03, 1.261757803E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.398362126E-02, 2.078517806E-03, 1.216035569E-03, 2.236025780E-02,-3.531453898E-03,-2.819327172E-03
        15, 1.398341637E-02, 2.345536370E-03, 5.452812766E-04, 2.143527195E-02,-3.619177965E-03,-3.551539034E-03
        16, 1.400000043E-02, 2.434493043E-03, 5.685448996E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.400000043E-02, 1.682130038E-03, 1.849442837E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 1.398348995E-02, 1.619210117E-03, 1.782244304E-03, 2.064729296E-02,-2.688014647E-03,-2.605944406E-03
        19, 2.898178529E-03, 7.094587781E-04,-1.059196191E-03,-1.481465697E-01,-1.554301940E-02,-2.360108495E-02
        20, 3.966809716E-03, 2.723381622E-04,-1.161110471E-03,-1.262547225E-01,-1.579219475E-02,-1.984014921E-02
        21, 3.420748748E-03,-3.591230779E-04,-1.171797747E-03,-7.962843031E-02,-1.674722508E-02,-1.360473596E-02
        22, 1.400000043E-02,-2.489416860E-03,-2.297910978E-04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 1.398298703E-02,-2.398948651E-03,-2.219355374E-04, 2.884279378E-02, 4.243141506E-03, 2.757454524E-03
